order_id,customer_id,order_date,order_value,payment_method,status,city
ORD_10058,CUST_1139,2024-04-13,1727,COD,Returned,Pune
ORD_10059,CUST_4946,2024-04-05,3838,COD,Delivered,Chennai
ORD_10060,CUST_2112,2024-04-09,5189,Netbanking,Cancelled,Hyderabad
ORD_10061,CUST_1100,2024-01-26,3588,COD,Cancelled,Delhi
ORD_10062,CUST_2531,2024-04-22,3508,Card,Delivered,Delhi
ORD_10063,CUST_8589,2024-05-25,629,Netbanking,Delivered,Pune
ORD_10064,CUST_2790,2024-02-20,3080,Card,Delivered,Delhi
ORD_10065,CUST_8685,2024-03-04,1470,Card,Cancelled,Delhi
ORD_10066,CUST_2852,2024-04-17,740,UPI,Delivered,Kolkata
ORD_10067,CUST_5139,2024-04-07,5072,UPI,Cancelled,Kolkata
ORD_10068,CUST_3849,2023-12-17,1600,COD,Delivered,Chennai
ORD_10069,CUST_3330,2024-02-28,2927,Card,Delivered,Delhi
ORD_10070,CUST_7898,2024-03-23,1254,Netbanking,Cancelled,Chennai
ORD_10071,CUST_4895,2024-04-14,5039,Netbanking,Cancelled,Hyderabad
ORD_10072,CUST_4123,2023-12-14,3849,Card,Delivered,Pune
ORD_10073,CUST_3029,2024-04-04,3186,Card,Cancelled,Delhi
ORD_10074,CUST_7935,2024-03-27,4363,COD,Cancelled,Pune
ORD_10075,CUST_4443,2024-01-12,1081,UPI,Delivered,Pune
ORD_10076,CUST_7944,2024-02-05,826,Netbanking,Delivered,Delhi
ORD_10077,CUST_1028,2024-05-27,3895,Card,Delivered,Pune
ORD_10078,CUST_8119,2024-01-10,4521,Card,Delivered,Hyderabad
ORD_10079,CUST_5507,2024-02-04,1267,Netbanking,Delivered,Hyderabad
ORD_10080,CUST_1117,2024-05-04,1604,Netbanking,Delivered,Chennai
ORD_10081,CUST_2225,2024-03-29,2677,UPI,Returned,Chennai
ORD_10082,CUST_1632,2024-01-17,3520,COD,Cancelled,Pune
ORD_10083,CUST_7145,2024-01-11,2809,Netbanking,Returned,Chennai
ORD_10084,CUST_8209,2023-12-14,2900,Card,Delivered,Hyderabad
ORD_10085,CUST_5569,2024-03-03,778,Netbanking,Delivered,Chennai
ORD_10086,CUST_8948,2024-02-21,2812,Netbanking,Delivered,Chennai
ORD_10087,CUST_3016,2024-02-13,2138,UPI,Delivered,Bangalore
ORD_10088,CUST_1423,2024-01-06,1924,UPI,Delivered,Mumbai
ORD_10089,CUST_8291,2024-01-13,974,Netbanking,Delivered,Pune
ORD_10090,CUST_8092,2024-02-10,4145,Card,Delivered,Hyderabad
ORD_10091,CUST_7498,2024-02-23,4634,Netbanking,Delivered,Bangalore
ORD_10092,CUST_3888,2024-02-15,4099,Netbanking,Delivered,Bangalore
ORD_10093,CUST_5800,2024-04-14,3238,Netbanking,Delivered,Kolkata
ORD_10094,CUST_8083,2024-03-18,1001,UPI,Returned,Pune
ORD_10095,CUST_7756,2024-05-10,3873,COD,Cancelled,Hyderabad
ORD_10096,CUST_7843,2024-01-12,4816,COD,Returned,Kolkata
ORD_10097,CUST_8294,2024-05-31,2382,Card,Delivered,Pune
ORD_10098,CUST_1625,2024-05-10,2080,COD,Delivered,Kolkata
ORD_10099,CUST_3947,2024-02-23,706,COD,Returned,Delhi
ORD_10100,CUST_8633,2024-02-24,2071,UPI,Cancelled,Bangalore
ORD_10101,CUST_7820,2023-12-14,2206,COD,Delivered,Mumbai
ORD_10102,CUST_1047,2023-12-12,887,UPI,Delivered,Bangalore
ORD_10103,CUST_3949,2024-01-23,4358,UPI,Delivered,Mumbai
ORD_10104,CUST_6504,2024-03-31,3827,Netbanking,Delivered,Bangalore
ORD_10105,CUST_6948,2024-05-17,3937,Card,Returned,Delhi
ORD_10106,CUST_1563,2024-01-13,817,Card,Delivered,Pune
ORD_10107,CUST_7955,2024-02-17,3355,Netbanking,Delivered,Kolkata
ORD_10108,CUST_6378,2024-03-12,2103,Card,Cancelled,Delhi
ORD_10109,CUST_4977,2024-05-20,4166,UPI,Returned,Pune
ORD_10110,CUST_4648,2024-04-28,3837,Card,Delivered,Kolkata
ORD_10111,CUST_1928,2024-04-24,814,Card,Delivered,Mumbai
ORD_10112,CUST_7361,2024-04-25,3961,Card,Delivered,Delhi
ORD_10113,CUST_6798,2024-01-30,318,Netbanking,Delivered,Chennai
ORD_10114,CUST_1713,2024-03-11,1141,Netbanking,Delivered,Chennai
ORD_10115,CUST_3937,2024-03-16,4950,COD,Delivered,Delhi
ORD_10116,CUST_5821,2023-12-27,3735,Netbanking,Delivered,Hyderabad
ORD_10117,CUST_3446,2024-05-23,2603,Card,Delivered,Mumbai
ORD_10118,CUST_7400,2024-02-06,1348,Card,Returned,Kolkata
ORD_10119,CUST_5787,2023-12-21,4478,Netbanking,Delivered,Delhi
ORD_10120,CUST_4193,2024-05-14,1087,COD,Returned,Hyderabad
ORD_10121,CUST_7276,2024-03-08,1422,UPI,Delivered,Hyderabad
ORD_10122,CUST_7747,2023-12-23,1976,COD,Delivered,Mumbai
ORD_10123,CUST_8122,2023-12-30,2063,UPI,Delivered,Hyderabad
ORD_10124,CUST_6092,2023-12-12,4143,Netbanking,Returned,Bangalore
ORD_10125,CUST_7191,2024-01-31,1068,UPI,Delivered,Bangalore
ORD_10126,CUST_3913,2024-01-02,1771,UPI,Delivered,Bangalore
ORD_10127,CUST_8403,2024-05-05,3223,Netbanking,Returned,Pune
ORD_10128,CUST_2481,2024-02-10,2084,Netbanking,Delivered,Kolkata
ORD_10129,CUST_2062,2024-02-05,5254,COD,Returned,Hyderabad
ORD_10130,CUST_5807,2024-04-07,1647,Netbanking,Delivered,Mumbai
ORD_10131,CUST_3585,2024-03-27,4968,COD,Cancelled,Mumbai
ORD_10132,CUST_8539,2024-05-24,3268,COD,Cancelled,Kolkata
ORD_10133,CUST_1825,2024-05-21,3048,COD,Cancelled,Mumbai
ORD_10134,CUST_7710,2024-01-27,754,Netbanking,Delivered,Pune
ORD_10135,CUST_2139,2023-12-08,3091,Card,Delivered,Chennai
ORD_10136,CUST_4255,2024-04-22,1510,Netbanking,Returned,Mumbai
ORD_10137,CUST_6594,2024-04-09,3223,Netbanking,Delivered,Pune
ORD_10138,CUST_8418,2024-02-26,516,Netbanking,Delivered,Hyderabad
ORD_10139,CUST_2618,2024-02-04,2372,UPI,Cancelled,Bangalore
ORD_10140,CUST_4461,2024-02-11,5187,Card,Delivered,Mumbai
ORD_10141,CUST_5499,2024-03-09,1061,Netbanking,Returned,Delhi
ORD_10142,CUST_7828,2024-05-28,1199,UPI,Delivered,Kolkata
ORD_10143,CUST_3216,2024-02-26,1522,COD,Delivered,Delhi
ORD_10144,CUST_6142,2024-05-10,3596,Card,Cancelled,Chennai
ORD_10145,CUST_1961,2024-01-10,2336,UPI,Delivered,Bangalore
ORD_10146,CUST_5530,2023-12-23,3373,Netbanking,Delivered,Chennai
ORD_10147,CUST_3207,2023-12-16,4988,Card,Returned,Delhi
ORD_10148,CUST_7333,2024-05-21,1598,Netbanking,Delivered,Hyderabad
ORD_10149,CUST_8043,2024-03-12,2996,Netbanking,Cancelled,Hyderabad
ORD_10150,CUST_3081,2024-05-09,1428,Netbanking,Delivered,Pune
ORD_10151,CUST_5375,2024-05-29,3861,COD,Delivered,Delhi
ORD_10152,CUST_7866,2023-12-09,4634,UPI,Delivered,Bangalore
ORD_10153,CUST_1986,2024-04-04,1288,Netbanking,Delivered,Delhi
ORD_10154,CUST_3449,2024-02-10,563,UPI,Delivered,Mumbai
ORD_10155,CUST_6649,2023-12-26,4448,Card,Delivered,Chennai
ORD_10156,CUST_1390,2024-01-05,895,Card,Delivered,Chennai
ORD_10157,CUST_1171,2024-05-23,2838,Netbanking,Returned,Kolkata
ORD_10158,CUST_5288,2024-03-22,1412,Card,Delivered,Mumbai
ORD_10159,CUST_1458,2024-03-21,1395,UPI,Delivered,Pune
ORD_10160,CUST_1437,2024-02-08,374,UPI,Delivered,Pune
ORD_10161,CUST_3129,2024-05-02,913,Card,Delivered,Hyderabad
ORD_10162,CUST_8098,2024-05-27,5060,Card,Delivered,Bangalore
ORD_10163,CUST_3581,2024-04-12,1256,Card,Delivered,Pune
ORD_10164,CUST_5168,2024-05-04,5144,UPI,Delivered,Pune
ORD_10165,CUST_6164,2024-02-26,1384,Card,Delivered,Pune
ORD_10166,CUST_5390,2024-02-14,2174,UPI,Delivered,Mumbai
ORD_10167,CUST_6474,2024-03-29,2140,UPI,Delivered,Pune
ORD_10168,CUST_5606,2024-05-31,4928,COD,Delivered,Mumbai
ORD_10169,CUST_7694,2024-04-08,3492,COD,Delivered,Chennai
ORD_10170,CUST_6794,2024-04-11,1752,Card,Returned,Bangalore
ORD_10171,CUST_5805,2024-02-29,1953,COD,Delivered,Delhi
ORD_10172,CUST_6117,2024-02-25,1529,Netbanking,Delivered,Hyderabad
ORD_10173,CUST_4422,2023-12-05,1389,Netbanking,Delivered,Mumbai
ORD_10174,CUST_8495,2024-01-14,3501,Card,Delivered,Hyderabad
ORD_10175,CUST_1630,2024-04-06,1291,Card,Delivered,Chennai
ORD_10176,CUST_3514,2024-04-16,1863,Card,Cancelled,Hyderabad
ORD_10177,CUST_1743,2024-04-18,3635,Card,Delivered,Chennai
ORD_10178,CUST_5896,2024-05-01,2206,UPI,Cancelled,Delhi
ORD_10179,CUST_2698,2024-02-22,4442,COD,Returned,Chennai
ORD_10180,CUST_7770,2023-12-06,3659,UPI,Cancelled,Delhi
ORD_10181,CUST_5343,2024-05-19,3658,COD,Delivered,Bangalore
ORD_10182,CUST_1644,2024-04-02,3636,UPI,Delivered,Bangalore
ORD_10183,CUST_3125,2024-02-24,1542,Netbanking,Delivered,Delhi
ORD_10184,CUST_2243,2024-04-21,3754,COD,Cancelled,Bangalore
ORD_10185,CUST_1165,2024-02-09,4261,Card,Delivered,Chennai
ORD_10186,CUST_3093,2024-04-09,794,UPI,Delivered,Hyderabad
ORD_10187,CUST_4284,2024-03-16,2606,UPI,Delivered,Pune
ORD_10188,CUST_2882,2024-02-02,448,Netbanking,Returned,Kolkata
ORD_10189,CUST_8111,2024-02-01,4989,Netbanking,Delivered,Hyderabad
ORD_10190,CUST_1708,2024-03-13,1028,Netbanking,Delivered,Kolkata
ORD_10191,CUST_3318,2024-04-03,4893,Netbanking,Returned,Hyderabad
ORD_10192,CUST_5024,2024-05-29,1596,COD,Delivered,Kolkata
ORD_10193,CUST_7584,2024-01-08,1468,Netbanking,Delivered,Bangalore
ORD_10194,CUST_7449,2024-05-14,1748,Netbanking,Delivered,Delhi
ORD_10195,CUST_7374,2024-02-13,4538,UPI,Delivered,Chennai
ORD_10196,CUST_4848,2024-01-29,4223,Netbanking,Delivered,Mumbai
ORD_10197,CUST_4129,2024-02-19,3113,Card,Delivered,Delhi
ORD_10198,CUST_3899,2024-05-06,1438,Netbanking,Cancelled,Mumbai
ORD_10199,CUST_8799,2024-05-21,2428,Netbanking,Cancelled,Hyderabad
ORD_10200,CUST_1990,2023-12-31,5185,UPI,Delivered,Hyderabad
ORD_10201,CUST_7696,2024-01-20,2233,Netbanking,Delivered,Mumbai
ORD_10202,CUST_8120,2024-02-27,4700,Card,Delivered,Hyderabad
ORD_10203,CUST_7691,2024-05-20,4168,Card,Returned,Pune
ORD_10204,CUST_2911,2024-05-03,3308,UPI,Returned,Pune
ORD_10205,CUST_7409,2024-05-29,615,Card,Delivered,Pune
ORD_10206,CUST_1633,2024-05-25,4113,Card,Returned,Pune
ORD_10207,CUST_4834,2024-04-20,2630,Netbanking,Cancelled,Delhi
ORD_10208,CUST_2385,2024-03-04,3819,Netbanking,Returned,Hyderabad
ORD_10209,CUST_8204,2024-02-09,384,UPI,Delivered,Delhi
ORD_10210,CUST_4260,2024-05-10,1254,Card,Delivered,Hyderabad
ORD_10211,CUST_3769,2023-12-24,3416,COD,Returned,Hyderabad
ORD_10212,CUST_6347,2023-12-22,2932,Card,Returned,Bangalore
ORD_10213,CUST_7205,2023-12-18,895,Card,Cancelled,Bangalore
ORD_10214,CUST_6969,2024-01-27,3736,COD,Delivered,Delhi
ORD_10215,CUST_8628,2023-12-27,1773,Card,Returned,Mumbai
ORD_10216,CUST_1803,2024-04-30,3132,UPI,Delivered,Chennai
ORD_10217,CUST_8383,2024-02-10,2457,Netbanking,Returned,Chennai
ORD_10218,CUST_7247,2024-04-10,4835,UPI,Returned,Hyderabad
ORD_10219,CUST_6369,2024-03-17,838,Card,Cancelled,Delhi
ORD_10220,CUST_8799,2024-04-04,2203,UPI,Cancelled,Pune
ORD_10221,CUST_6948,2024-02-28,1342,Netbanking,Delivered,Hyderabad
ORD_10222,CUST_4506,2024-01-31,5004,UPI,Delivered,Bangalore
ORD_10223,CUST_7684,2024-04-08,685,Netbanking,Delivered,Kolkata
ORD_10224,CUST_7522,2024-02-14,1570,Card,Delivered,Pune
ORD_10225,CUST_7614,2024-04-01,5000,COD,Delivered,Pune
ORD_10226,CUST_5425,2024-03-09,1910,COD,Delivered,Mumbai
ORD_10227,CUST_3849,2024-03-28,1839,COD,Cancelled,Mumbai
ORD_10228,CUST_1471,2024-02-22,2863,UPI,Delivered,Mumbai
ORD_10229,CUST_7286,2024-01-09,3424,COD,Delivered,Mumbai
ORD_10230,CUST_8194,2024-03-12,497,UPI,Delivered,Pune
ORD_10231,CUST_8732,2024-01-13,397,Card,Returned,Kolkata
ORD_10232,CUST_1862,2024-04-18,2426,Card,Delivered,Hyderabad
ORD_10233,CUST_8822,2024-02-01,773,COD,Delivered,Hyderabad
ORD_10234,CUST_8376,2024-04-14,4017,COD,Delivered,Kolkata
ORD_10235,CUST_3777,2024-04-21,4596,Card,Delivered,Chennai
ORD_10236,CUST_6655,2024-02-15,4058,Netbanking,Delivered,Pune
ORD_10237,CUST_3784,2024-03-13,3323,Card,Delivered,Chennai
ORD_10238,CUST_8206,2024-01-30,2298,UPI,Delivered,Bangalore
ORD_10239,CUST_3931,2024-03-20,5146,UPI,Returned,Bangalore
ORD_10240,CUST_2750,2023-12-26,2154,Netbanking,Returned,Bangalore
ORD_10241,CUST_2693,2024-04-07,3463,Netbanking,Delivered,Delhi
ORD_10242,CUST_6128,2024-03-28,2410,Netbanking,Delivered,Mumbai
ORD_10243,CUST_3834,2024-03-10,4925,Netbanking,Delivered,Delhi
ORD_10244,CUST_3587,2023-12-28,4329,COD,Returned,Mumbai
ORD_10245,CUST_7024,2023-12-20,2758,COD,Delivered,Hyderabad
ORD_10246,CUST_7572,2024-01-08,1265,COD,Returned,Chennai
ORD_10247,CUST_7393,2024-03-05,3925,COD,Delivered,Mumbai
ORD_10248,CUST_5962,2024-02-10,4137,COD,Delivered,Kolkata
ORD_10249,CUST_6568,2024-02-08,2650,COD,Delivered,Mumbai
ORD_10250,CUST_2067,2024-03-28,4916,COD,Delivered,Bangalore
ORD_10251,CUST_6704,2024-05-16,4532,Netbanking,Delivered,Kolkata
ORD_10252,CUST_3084,2023-12-20,3961,COD,Delivered,Bangalore
ORD_10253,CUST_5557,2024-01-03,3893,Card,Delivered,Pune
ORD_10254,CUST_2918,2024-01-16,1381,Netbanking,Delivered,Kolkata
ORD_10255,CUST_2474,2023-12-18,5162,Card,Delivered,Bangalore
ORD_10256,CUST_2063,2024-01-30,2274,Card,Delivered,Chennai
ORD_10257,CUST_7942,2024-03-22,2520,UPI,Cancelled,Hyderabad
ORD_10258,CUST_1727,2024-04-22,1372,COD,Delivered,Delhi
ORD_10259,CUST_3066,2024-04-30,2807,Netbanking,Delivered,Pune
ORD_10260,CUST_4255,2023-12-26,2830,Netbanking,Delivered,Hyderabad
ORD_10261,CUST_7240,2024-02-24,4324,Card,Cancelled,Hyderabad
ORD_10262,CUST_2674,2024-05-29,2350,COD,Delivered,Delhi
ORD_10263,CUST_6556,2024-04-17,436,Netbanking,Delivered,Kolkata
ORD_10264,CUST_7752,2024-02-04,1470,Netbanking,Delivered,Pune
ORD_10265,CUST_8997,2024-03-21,3693,UPI,Delivered,Mumbai
ORD_10266,CUST_5269,2024-04-30,697,Netbanking,Cancelled,Pune
ORD_10267,CUST_1423,2023-12-16,4999,COD,Returned,Delhi
ORD_10268,CUST_2602,2024-05-27,5059,UPI,Delivered,Kolkata
ORD_10269,CUST_7156,2024-02-02,504,Netbanking,Returned,Kolkata
ORD_10270,CUST_4954,2024-05-10,5193,Netbanking,Delivered,Kolkata
ORD_10271,CUST_1519,2024-05-27,814,Netbanking,Returned,Kolkata
ORD_10272,CUST_4945,2023-12-10,4454,Netbanking,Delivered,Pune
ORD_10273,CUST_4310,2024-02-27,4551,Netbanking,Delivered,Delhi
ORD_10274,CUST_5498,2023-12-20,4678,COD,Delivered,Pune
ORD_10275,CUST_2972,2024-01-19,2334,COD,Delivered,Delhi
ORD_10276,CUST_3797,2024-01-07,4776,Netbanking,Cancelled,Pune
ORD_10277,CUST_6961,2024-04-26,565,Netbanking,Delivered,Bangalore
ORD_10278,CUST_4081,2023-12-10,5030,COD,Returned,Pune
ORD_10279,CUST_3798,2024-02-12,2028,Netbanking,Cancelled,Hyderabad
ORD_10280,CUST_2042,2024-05-14,4561,UPI,Cancelled,Bangalore
ORD_10281,CUST_2928,2024-02-25,2314,Netbanking,Delivered,Bangalore
ORD_10282,CUST_3989,2024-02-26,1128,Card,Delivered,Bangalore
ORD_10283,CUST_6608,2024-04-02,4399,Netbanking,Delivered,Mumbai
ORD_10284,CUST_8362,2024-02-21,4771,Card,Delivered,Bangalore
ORD_10285,CUST_1705,2024-01-02,3164,Card,Delivered,Hyderabad
ORD_10286,CUST_8722,2023-12-20,2265,Netbanking,Returned,Chennai
ORD_10287,CUST_5391,2024-03-20,2191,Netbanking,Delivered,Kolkata
ORD_10288,CUST_2615,2024-01-06,5106,UPI,Delivered,Delhi
ORD_10289,CUST_5461,2024-01-04,4269,Netbanking,Delivered,Hyderabad
ORD_10290,CUST_2715,2024-04-30,3670,Card,Delivered,Chennai
ORD_10291,CUST_4801,2024-05-09,828,COD,Delivered,Hyderabad
ORD_10292,CUST_5498,2024-01-31,3946,COD,Returned,Kolkata
ORD_10293,CUST_1957,2024-01-31,1889,COD,Delivered,Mumbai
ORD_10294,CUST_3464,2023-12-29,3681,UPI,Delivered,Hyderabad
ORD_10295,CUST_7469,2024-02-14,3324,UPI,Delivered,Hyderabad
ORD_10296,CUST_7809,2024-05-31,4364,UPI,Delivered,Bangalore
ORD_10297,CUST_4972,2024-03-17,1638,UPI,Delivered,Kolkata
ORD_10298,CUST_2671,2024-01-13,760,Netbanking,Delivered,Bangalore
ORD_10299,CUST_3596,2024-01-05,3594,Card,Delivered,Pune
ORD_10300,CUST_8497,2024-01-21,1935,Netbanking,Delivered,Delhi
ORD_10301,CUST_1850,2024-04-11,4266,COD,Delivered,Hyderabad
ORD_10302,CUST_3812,2024-04-17,1799,Card,Delivered,Mumbai
ORD_10303,CUST_6770,2024-04-06,5246,UPI,Cancelled,Bangalore
ORD_10304,CUST_6662,2024-01-28,4728,COD,Delivered,Chennai
ORD_10305,CUST_8405,2024-01-31,2456,COD,Cancelled,Mumbai
ORD_10306,CUST_2648,2024-02-17,3582,COD,Delivered,Pune
ORD_10307,CUST_3261,2024-01-30,1739,Netbanking,Delivered,Hyderabad
ORD_10308,CUST_1869,2024-05-04,785,Netbanking,Returned,Pune
ORD_10309,CUST_6675,2024-02-08,1012,Card,Delivered,Chennai
ORD_10310,CUST_6438,2024-01-15,3785,COD,Delivered,Bangalore
ORD_10311,CUST_4492,2024-03-30,5295,Card,Delivered,Chennai
ORD_10312,CUST_5192,2024-02-24,4861,UPI,Delivered,Mumbai
ORD_10313,CUST_1154,2024-02-29,1764,COD,Delivered,Mumbai
ORD_10314,CUST_1388,2023-12-19,4840,UPI,Delivered,Chennai
ORD_10315,CUST_8526,2024-02-17,2351,Card,Cancelled,Chennai
ORD_10316,CUST_6890,2024-01-25,826,UPI,Delivered,Chennai
ORD_10317,CUST_8926,2024-04-24,2660,COD,Delivered,Pune
ORD_10318,CUST_1280,2024-03-13,1257,Card,Delivered,Bangalore
ORD_10319,CUST_3344,2024-04-12,2770,COD,Delivered,Chennai
ORD_10320,CUST_4360,2024-05-10,3654,COD,Returned,Pune
ORD_10321,CUST_8675,2024-01-14,3908,Netbanking,Returned,Mumbai
ORD_10322,CUST_6124,2024-04-24,2573,Netbanking,Delivered,Delhi
ORD_10323,CUST_8622,2024-02-06,1683,UPI,Delivered,Chennai
ORD_10324,CUST_1781,2024-05-01,4299,Netbanking,Delivered,Mumbai
ORD_10325,CUST_7933,2024-04-14,2416,Netbanking,Cancelled,Mumbai
ORD_10326,CUST_1652,2024-05-23,5032,Card,Returned,Pune
ORD_10327,CUST_4957,2024-03-02,3423,Netbanking,Delivered,Mumbai
ORD_10328,CUST_2168,2024-04-26,643,UPI,Returned,Bangalore
ORD_10329,CUST_6170,2024-03-08,1270,COD,Delivered,Pune
ORD_10330,CUST_6545,2024-05-01,771,Card,Returned,Pune
ORD_10331,CUST_5886,2024-03-26,4194,Netbanking,Delivered,Hyderabad
ORD_10332,CUST_3686,2024-03-03,4904,COD,Delivered,Mumbai
ORD_10333,CUST_1503,2024-03-12,4816,UPI,Returned,Delhi
ORD_10334,CUST_6999,2024-02-14,3281,Card,Cancelled,Pune
ORD_10335,CUST_1851,2024-01-08,1796,COD,Cancelled,Hyderabad
ORD_10336,CUST_2865,2024-02-15,2187,UPI,Delivered,Pune
ORD_10337,CUST_2940,2023-12-17,1793,Netbanking,Delivered,Hyderabad
ORD_10338,CUST_6698,2024-04-24,1597,UPI,Delivered,Bangalore
ORD_10339,CUST_8641,2024-03-11,3781,Netbanking,Delivered,Delhi
ORD_10340,CUST_2571,2024-04-21,1215,UPI,Delivered,Bangalore
ORD_10341,CUST_5532,2024-05-23,1914,UPI,Delivered,Hyderabad
ORD_10342,CUST_6447,2024-03-31,4150,UPI,Delivered,Mumbai
ORD_10343,CUST_1486,2024-05-16,1280,Netbanking,Cancelled,Kolkata
ORD_10344,CUST_2236,2024-03-05,706,Card,Returned,Pune
ORD_10345,CUST_1489,2024-01-26,517,Card,Delivered,Bangalore
ORD_10346,CUST_5500,2024-02-02,4888,Card,Returned,Kolkata
ORD_10347,CUST_7826,2023-12-11,635,COD,Delivered,Chennai
ORD_10348,CUST_6859,2023-12-20,3373,Netbanking,Delivered,Pune
ORD_10349,CUST_8415,2024-03-01,2525,UPI,Cancelled,Bangalore
ORD_10350,CUST_3336,2024-02-28,4974,Card,Cancelled,Mumbai
ORD_10351,CUST_6067,2024-02-13,484,Card,Returned,Pune
ORD_10352,CUST_2790,2024-04-19,2665,Card,Cancelled,Hyderabad
ORD_10353,CUST_3473,2024-04-08,505,Card,Delivered,Kolkata
ORD_10354,CUST_2980,2024-05-04,1665,Netbanking,Returned,Hyderabad
ORD_10355,CUST_2111,2024-01-22,3547,Card,Returned,Hyderabad
ORD_10356,CUST_7590,2023-12-29,2998,UPI,Delivered,Hyderabad
ORD_10357,CUST_8601,2023-12-06,1805,UPI,Returned,Mumbai
ORD_10358,CUST_4646,2024-05-03,3640,UPI,Delivered,Chennai
ORD_10359,CUST_8716,2024-02-28,1786,Netbanking,Delivered,Chennai
ORD_10360,CUST_8627,2024-04-05,4662,Netbanking,Delivered,Pune
ORD_10361,CUST_3971,2024-04-09,4668,Card,Delivered,Chennai
ORD_10362,CUST_2368,2024-01-31,3619,COD,Cancelled,Mumbai
